birthday,age,startDate,parttimePercentage,hometown,gender,discipline,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
25/07/1973,43,1/07/2007,100.00,Boskoop,Man,Managing Director,Algemeen,eFocus,Fulltimer,Coevorden,Nederland
18/09/1972,44,10/09/2007,90.00,Houten,Man,Technology Director,Algemeen,eFocus,Parttimer,Nieuwegein,Nederland
20/09/1979,37,10/12/2007,100.00,Utrecht,Man,Managing Director,Algemeen,eFocus,Fulltimer,Heerlen,Nederland
11/10/1979,37,14/04/2008,100.00,Utrecht,Man,Chief Strategy Officer,Algemeen,eFocus,Fulltimer,Leeuwarden,Nederland
20/08/1970,46,1/12/2009,100.00,Monnickendam,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Parttimer,Vlaardingen,Nederland
2/09/1970,46,1/04/2010,80.00,Zeist,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Parttimer,Pijnacker,Nederland
6/11/1979,37,1/11/2010,100.00,Driebergen-Rijsenburg,Man,Strategy Director,Algemeen,eFocus,Parttimer,Breda,Nederland
7/07/1987,29,1/08/2011,90.00,Hooglanderveen,Vrouw,Directiesecretaresse,Algemeen,Secretariaat,Parttimer,Naarden,Nederland
13/09/1969,47,1/07/2013,100.00,Utrecht,Man,Algemeen Directeur,Algemeen,eFocus,Fulltimer,Zwolle,Nederland
12/04/1972,44,1/01/2012,100.00,Druten,Man,Managing Director,Algemeen,eFocus,Fulltimer,Nijmegen,Nederland
30/05/1983,33,10/01/2012,80.00,Utrecht,Vrouw,Senior Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Helmond,Nederland
24/12/1972,44,1/04/2013,90.00,Wormer,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Parttimer,Rotterdam,Nederland
28/07/1970,46,1/10/2013,90.00,Leeuwarden,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Zwolle,Nederland
13/07/1990,26,1/04/2014,100.00,Vleuten,Vrouw,Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Utrecht,Nederland
29/03/1975,41,1/07/2014,100.00,Leusden,Man,Creative Director,Algemeen,eFocus,Parttimer,Hardenberg,Nederland
22/03/1984,32,1/10/2014,100.00,IJsselstein Ut,Man,Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Everdingen,Nederland
27/05/1981,35,1/11/2014,100.00,Helmond,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Eindhoven,Nederland
17/11/1988,28,1/08/2015,80.00,Utrecht,Vrouw,Academy Coördinator,Algemeen,Marketing & Communicatie,Parttimer,Nijmegen,Nederland
20/07/1991,25,8/12/2015,100.00,Amersfoort,Vrouw,Marketing en Communicatie,Algemeen,Marketing & Communicatie,Fulltimer,Amersfoort,Nederland
12/08/1977,39,1/04/2016,100.00,Nieuw Vennep,Man,Managing Director,Algemeen,eFocus,Fulltimer,Rijswijk,Nederland
19/10/1988,28,1/05/2016,100.00,Amsterdam,Man,Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Teheran,Iran
28/03/1968,48,1/10/2016,100.00,Rosmalen,Man,Senior Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Bergeyk,Nederland
12/12/1985,31,1/01/2017,80.00,Veenendaal,Vrouw,Marketing en Communicatie,Algemeen,Marketing & Communicatie,Parttimer,Rhenen,Nederland
22/12/1978,38,1/02/2017,100.00,Vught,Man,Accountmanager,Algemeen,Sales & accountmanagement,Fulltimer,Sint Oedenrode,Nederland
1/06/1976,40,1/10/2000,80.00,Utrecht,Man,Senior developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Harderwijk,Nederland
24/12/1975,41,1/11/2008,90.00,Utrecht,Man,Senior Information Analyst,Amersfoort,Development Amersfoort eFocus,Parttimer,Huizen,Nederland
17/06/1978,38,1/10/2011,60.00,Amersfoort,Vrouw,Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Parttimer,Alphen aan den Rijn,Nederland
5/12/1976,40,1/01/2012,90.00,Leusden,Man,Senior developer,Amersfoort,Development Amersfoort eFocus,Parttimer,Almelo,Nederland
11/06/1983,33,1/01/2012,80.00,Leusden,Vrouw,Senior developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Bunschoten Spakenburg,Nederland
17/11/1978,38,1/02/2012,100.00,Woudenberg,Man,Art Director,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Tiel,Nederland
